review,rating,date,bank,source
this application is very important and advantage for transfer of money and finance in the coutry and foriegn country.,5,2025-11-27,CBE,Google Play Store
why didn't work this app?,1,2025-11-27,CBE,Google Play Store
the app makes our life easier. thank you cbe!,5,2025-11-27,CBE,Google Play Store
this app very bad 👎,1,2025-11-27,CBE,Google Play Store
the most advanced app. but how to stay safe?,5,2025-11-27,CBE,Google Play Store
good application,4,2025-11-27,CBE,Google Play Store
it is nice app,5,2025-11-26,CBE,Google Play Store
best,5,2025-11-25,CBE,Google Play Store
good app,5,2025-11-25,CBE,Google Play Store
"it suddenly asked me to enter the verification key i received. and it (*get your verification key from the nearest cbe branch*) now i'm in australia, what do you expect me to do???! there is no nearest or furthermost cbe branch!! so frustrating! how can i manage my bank account now????",1,2025-11-25,CBE,Google Play Store
nice app...,5,2025-11-25,CBE,Google Play Store
very good banking service and fast service,5,2025-11-24,CBE,Google Play Store
thanks blc this app help me to use all time,5,2025-11-24,CBE,Google Play Store
good,5,2025-11-24,CBE,Google Play Store
why we can't send money to other people telebirr wallets??,1,2025-11-24,CBE,Google Play Store
አታፍሩም ግን ለ15 birr 11.50 ብር ስትቆርጡ ይስተካከልልን,1,2025-11-23,CBE,Google Play Store
በጣም ቀላልና ምቹ ነው።,5,2025-11-23,CBE,Google Play Store
wow,5,2025-11-23,CBE,Google Play Store
nice,5,2025-11-22,CBE,Google Play Store
you are the reason why i got ye chogara himem,1,2025-11-22,CBE,Google Play Store
it is so smart app i recommend it for everyone,5,2025-11-22,CBE,Google Play Store
excellent,5,2025-11-22,CBE,Google Play Store
ዳጊ,5,2025-11-21,CBE,Google Play Store
absolutely right,5,2025-11-21,CBE,Google Play Store
mid application it's so annoying,3,2025-11-20,CBE,Google Play Store
i used morethan one year,4,2025-11-20,CBE,Google Play Store
no word can explane about this app it is nice 👍👍👍👍👍,5,2025-11-20,CBE,Google Play Store
"it's great app,i love this app",5,2025-11-20,CBE,Google Play Store
suckkkks,1,2025-11-19,CBE,Google Play Store
not allowing to transfer and showing current statement updates.,1,2025-11-19,CBE,Google Play Store
i love you this app,5,2025-11-19,CBE,Google Play Store
"fast and convenient app, thanks for your dedication as a bank to provide good options to your cuatomers.",1,2025-11-19,CBE,Google Play Store
make life easy,5,2025-11-19,CBE,Google Play Store
securr,5,2025-11-19,CBE,Google Play Store
my most optional bank,5,2025-11-17,CBE,Google Play Store
5 star,5,2025-11-16,CBE,Google Play Store
it is fantastic app.,5,2025-11-16,CBE,Google Play Store
sifen,5,2025-11-16,CBE,Google Play Store
i like this√,4,2025-11-16,CBE,Google Play Store
ok,3,2025-11-16,CBE,Google Play Store
ጥሩ app ነዉ ። የኔ የግል አስተያየት- update ወይንም cache cleaning app ሲደረግ ለምንድነዉ ደግመን login ስናደርግ restricted ሚያደርገዉ ቢስተካከል እንደ ሀሳብ ጥሩ ነዉ። በዛላይ ድጋሚ አክቲቬት ለማስደረግ ከፍለን ..,5,2025-11-15,CBE,Google Play Store
"seriously, what’s going on with this app? the ""pay to beneficiary"" option is completely disabled for android users, yet ios users get full access without restrictions. why are android users being treated like second class customers? it’s the same app, the same service, but clearly not the same experience. this kind of platform bias is unacceptable, either give everyone the same features or be transparent about why you’re limiting functionality. right now, it just feels unfair and frustrating.",1,2025-11-15,CBE,Google Play Store
like,5,2025-11-13,CBE,Google Play Store
nice and very useful app i like it!,5,2025-11-13,CBE,Google Play Store
smart app,4,2025-11-12,CBE,Google Play Store
sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,2025-11-12,CBE,Google Play Store
cbe is my choice,4,2025-11-11,CBE,Google Play Store
awesome,5,2025-11-11,CBE,Google Play Store
i am not able to transfer. the app is not responding,1,2025-11-11,CBE,Google Play Store
very convenient app,5,2025-11-11,CBE,Google Play Store
excellent but sometimes can not connect,5,2025-11-10,CBE,Google Play Store
wow apk,5,2025-11-10,CBE,Google Play Store
best 100 %,5,2025-11-10,CBE,Google Play Store
bad app,1,2025-11-10,CBE,Google Play Store
best app,5,2025-11-10,CBE,Google Play Store
nice app,5,2025-11-10,CBE,Google Play Store
the app constantly glitches and won't stop loading despite having a decent connection and a cleared cache. telebirr is way better,1,2025-11-10,CBE,Google Play Store
i can't access it properly i think it needs update,1,2025-11-10,CBE,Google Play Store
👌👌,5,2025-11-10,CBE,Google Play Store
best 👌,5,2025-11-10,CBE,Google Play Store
not refresh,2,2025-11-10,CBE,Google Play Store
your statement is not used as wanted,1,2025-11-10,CBE,Google Play Store
good very good,5,2025-11-09,CBE,Google Play Store
this is absolute trash why because it's not woking most time the servers are down even though i'm using 4g data internet they steal not working they use to work with out even data package now it's trash can't even send money,1,2025-11-09,CBE,Google Play Store
bayeee galatooma kana caalati nu gammachisa 🌏🤌🏻💴💸🥰👌🏻🙏🏻,5,2025-11-08,CBE,Google Play Store
good !,5,2025-11-08,CBE,Google Play Store
i like it,5,2025-11-08,CBE,Google Play Store
very nice app,5,2025-11-08,CBE,Google Play Store
the app is not functional this week.,4,2025-11-08,CBE,Google Play Store
very updated bank,5,2025-11-05,CBE,Google Play Store
tankyu,5,2025-11-05,CBE,Google Play Store
numbers 2 and 3 don't write during pin verification.,5,2025-11-05,CBE,Google Play Store
"once it is uninstalled, you need to visit a nearby bank. you go there and they ask you to have a new sim card which hasn't been used before. so you should buy a new sim card and you go back to them with a new sim card, when you reach there service provider says authentication pin is not arrive, the system is not working come back tomorrow.",1,2025-11-05,CBE,Google Play Store
loved it,5,2025-11-05,CBE,Google Play Store
this app is not working on my phone,5,2025-11-03,CBE,Google Play Store
cbe needs to show transaction fees before the transaction is confirmed and not after. this is a big issue as fees are no longer insignificant.,3,2025-11-03,CBE,Google Play Store
"after the recent updates, i am unable to download a receipt. i can't see the names of account holders i've previously transacted with. very important. please fix it asap.",1,2025-11-03,CBE,Google Play Store
wow 😘😘😘,4,2025-11-02,CBE,Google Play Store
mobile banking broblem,5,2025-11-01,CBE,Google Play Store
good job,5,2025-11-01,CBE,Google Play Store
it is a good and clear apps to use,4,2025-10-31,CBE,Google Play Store
ለምንድን ነው ከንግድ ባንክ ወደ ቴሌብር 5 ብር ሲተላለፍ 11 ብር እንዲቆርጥ ያደረጋችሁት,1,2025-10-31,CBE,Google Play Store
i love this app b/c every option in the app very clear and supportive.,5,2025-10-30,CBE,Google Play Store
niiceh,5,2025-10-29,CBE,Google Play Store
the app is good but their is no dark mode you have to add it,3,2025-10-29,CBE,Google Play Store
🤮,1,2025-10-29,CBE,Google Play Store
abdulakim abrahim elemoo,5,2025-10-28,CBE,Google Play Store
strong,5,2025-10-28,CBE,Google Play Store
abebaw zenebe,5,2025-10-28,CBE,Google Play Store
good i love it keep it up but if we had a new update that will be fire soo good,5,2025-10-27,CBE,Google Play Store
cbe,5,2025-10-27,CBE,Google Play Store
active and granted system,5,2025-10-27,CBE,Google Play Store
fast app,4,2025-10-26,CBE,Google Play Store
cool 😎,5,2025-10-26,CBE,Google Play Store
galaxy a10s,3,2025-10-26,CBE,Google Play Store
the best apps,5,2025-10-26,CBE,Google Play Store
arif app new,5,2025-10-26,CBE,Google Play Store
laga bari biranch,5,2025-10-26,CBE,Google Play Store
ነነሠነሠሠነሠሠሠሠነየነ,5,2025-10-26,CBE,Google Play Store
i would like to suggest you improve the time out as it takes the money and doesn't return it back until the next day.,3,2025-10-25,CBE,Google Play Store
attractive,5,2025-10-25,CBE,Google Play Store
mite,5,2025-10-24,CBE,Google Play Store
useful,5,2025-10-24,CBE,Google Play Store
"not good, not bad!",3,2025-10-23,CBE,Google Play Store
very good,5,2025-10-23,CBE,Google Play Store
እጅግ በጣም አስቀያሚ ጠቁአም ዘረፋ በሚባል ደርጃ የ አገልግሎት የሚቀበል ያልሰራበትን የገዛ ገንዝበባችንን ተዘረፍን ከ 100ብር 10ብር የአገልግሎት ማስከፈል ምን ማለት ነው እባካችሁ እዩት እስትይ ከ ሞባይል ባንክ ወደ ampsa አስተላልፉና እዩት በጣም ይገርማል ሌባ ብያቸዋልሁ,1,2025-10-22,CBE,Google Play Store
imp,5,2025-10-22,CBE,Google Play Store
super fast app,5,2025-10-21,CBE,Google Play Store
"the app has a nice design and useful features like balance check and transfers, but it’s unstable and often fails to connect. it also forces users to turn off developer options, which is unnecessary — other banking apps work fine without that. many people use developer mode for normal reasons. please fix performance issues, remove this restriction, and add biometric login for better security and convenience",2,2025-10-19,CBE,Google Play Store
"it says ""ti is work any more in your device"" what can i do??",1,2025-10-18,CBE,Google Play Store
blah blah blah,5,2025-10-18,CBE,Google Play Store
bad ግዴታ መሆንሁ,1,2025-10-17,CBE,Google Play Store
cbe no.1,5,2025-10-17,CBE,Google Play Store
"it's not work correctly when it's needed sometimes, but it works sometimes though",2,2025-10-16,CBE,Google Play Store
its easy to use and more secured than the previous one. i love it and appreciate commercial bank of ethiopia for every time update.,5,2025-10-16,CBE,Google Play Store
gooof,5,2025-10-16,CBE,Google Play Store
"suddenly the cbe application i was using stopped working and called callcenter, i was told it's because it expired and i should vist any branch to fix it. so i went to cbe silassie branch.after filling a form they gave me, i sat down and waited until they finish fixing 2 customer's case who arrived before me. but then when it was my turn ppl who came after me with same mobile banking and even atm card cases were finishing up and leaving i had to get back to my work so i left.with no service.why?",1,2025-10-16,CBE,Google Play Store
still not perfect like before,1,2025-10-15,CBE,Google Play Store
this app dash board is disturbing me. it is not showing me traxation and my balance while displaying others option on dashboard. i think it is a risk full app😭😭😭🤤🤤,1,2025-10-15,CBE,Google Play Store
applied,1,2025-10-14,CBE,Google Play Store
10 years ago,4,2025-10-14,CBE,Google Play Store
asefa obsa,5,2025-10-14,CBE,Google Play Store
it's good app,5,2025-10-14,CBE,Google Play Store
very slow,1,2025-10-14,CBE,Google Play Store
berhan deriba wami,4,2025-10-14,CBE,Google Play Store
mahamad usman,5,2025-10-13,CBE,Google Play Store
erako,5,2025-10-13,CBE,Google Play Store
🔥🔥🔥🔥🔥,5,2025-10-13,CBE,Google Play Store
opne,5,2025-10-13,CBE,Google Play Store
mehommd nuri,5,2025-10-13,CBE,Google Play Store
providing very secure service.,5,2025-10-12,CBE,Google Play Store
apk አሪፍ ነው ግን በጣም apkwun የሚከፍቱ የ ባንክ ሰራተኞች በጣም ደካማ ናቸው ሲያስተናግዱ ለ ደንበኛ ክብር የላቸውም እኔ መመላለስ ከጀመርኩ ቆየው ግን መፍትህ ላገኝ አልችልኩም ::,1,2025-10-12,CBE,Google Play Store
ዳር ኑሮ ላለው ኣፍሪቻን ው,5,2025-10-12,CBE,Google Play Store
riyad mohammed abaoli 92 527 2567,5,2025-10-12,CBE,Google Play Store
it doesn't show bank statement and no options to see transactions for the past months.,2,2025-10-11,CBE,Google Play Store
mamma husen,2,2025-10-11,CBE,Google Play Store
3 stars because i can't see all my transaction history apart from the recents and a refresh button has been removed from the recents activity. the app should allow clients to view all of the transactions not just recents.,3,2025-10-11,CBE,Google Play Store
exceptional application from others bank,5,2025-10-10,CBE,Google Play Store
"it is very nice. but i have a serious suggestion when you send to other cbe birr customer, it does not show the name of the recipient befor it actually send the money. please improve this",4,2025-10-10,CBE,Google Play Store
good👍👍👍😊😊😊,5,2025-10-10,CBE,Google Play Store
really good app,5,2025-10-10,CBE,Google Play Store
smart bank cbe,5,2025-10-10,CBE,Google Play Store
ali urgesa11,3,2025-10-09,CBE,Google Play Store
it's good,5,2025-10-09,CBE,Google Play Store
good apps,5,2025-10-09,CBE,Google Play Store
password በጣት አሻራ ቢኖረው መልካም ነበር,4,2025-10-09,CBE,Google Play Store
best app i ever seen,5,2025-10-09,CBE,Google Play Store
it's game changing in financial system,4,2025-10-09,CBE,Google Play Store
"z,mkt 20_._!8+⅓⅕😘r",1,2025-10-09,CBE,Google Play Store
will good updating,5,2025-10-08,CBE,Google Play Store
"service charge , vat, fee everything here is not yours they wanna take what you have, everything is not fair",1,2025-10-08,CBE,Google Play Store
why removing screenshot feature why?,2,2025-10-08,CBE,Google Play Store
very good application! thank you all who participate!,5,2025-10-08,CBE,Google Play Store
application bank commercial ethiopia i am very happy to be able to appear in a great job on a pleasant job,5,2025-10-08,CBE,Google Play Store
user compatible app!,5,2025-10-08,CBE,Google Play Store
"i am trying to access this app on my android phone, but sometimes doesn't work. so kindly try to improve it.",3,2025-10-07,CBE,Google Play Store
what an amazing app. you know how much it simplify life. thanks cbe. i proud of you.,5,2025-10-07,CBE,Google Play Store
our commercial bank of ethiopia is good !,5,2025-10-06,CBE,Google Play Store
asledin ibsa,5,2025-10-06,CBE,Google Play Store
terrible when showing history of transaction it shows in disorganised way,3,2025-10-05,CBE,Google Play Store
my bank,5,2025-10-05,CBE,Google Play Store
data,5,2025-10-04,CBE,Google Play Store
"lately i am facing a problem with the app ,and the problem is when log in and inter my pin it doesn't work at all and says 'can't sync' why does it say that i was working fine a few day ago and also it says when i enter my pin 'change your pin to 6 digit pin and it doesn't allow me to change it please solve what is the problem with the app ?",2,2025-10-04,CBE,Google Play Store
excellent app with lots of features,5,2025-10-04,CBE,Google Play Store
very good 👍 mobile banking,5,2025-10-04,CBE,Google Play Store
so special,5,2025-10-04,CBE,Google Play Store
wiiy ewdihiliw esimirt niho yitnehew metgeyot ❤💞🤔😴🤩😍,1,2025-10-03,CBE,Google Play Store
woow cbe,5,2025-10-03,CBE,Google Play Store
cbe the best bank app,4,2025-10-03,CBE,Google Play Store
this app cbe bank it's simple and smart i like it.,5,2025-10-03,CBE,Google Play Store
rijalufaris,5,2025-10-02,CBE,Google Play Store
its best app but i hate the repeatedly update request,5,2025-10-02,CBE,Google Play Store
imoo,3,2025-10-02,CBE,Google Play Store
"it was good since it become a robber the vat ,tax,service charge,unbelievable charge to send to other bank, monthly charge,etc i hope one international bank comes and we all leave this bank. enough is enough",1,2025-10-02,CBE,Google Play Store
screen shoot always not allowed why?,5,2025-10-02,CBE,Google Play Store
enkorabetalen,5,2025-10-01,CBE,Google Play Store
gamada mahamadi,1,2025-09-30,CBE,Google Play Store
it is very good banking web but its network is sometimes busy i hope they willfix the problem,4,2025-09-30,CBE,Google Play Store
verfcasencod,5,2025-09-30,CBE,Google Play Store
you can't get your own transaction history,1,2025-09-29,CBE,Google Play Store
sintu,5,2025-09-29,CBE,Google Play Store
bank of ethiopia,5,2025-09-28,CBE,Google Play Store
"all most good, but need improvement",5,2025-09-27,CBE,Google Play Store
"great application for me,so i would like to rate with solid 5 star.that it works well overall. so hello everyone enjoy the apps",5,2025-09-27,CBE,Google Play Store
poor app all of you guys delete cbe and download boa,1,2025-09-27,CBE,Google Play Store
niceapp,5,2025-09-27,CBE,Google Play Store
the best app of all,5,2025-09-25,CBE,Google Play Store
❤️,5,2025-09-25,CBE,Google Play Store
"most of the time when i try to open the app, it does not load. the circle keeps spinning as if it is trying to open, and get a message saying "" 2 attempts left for offline login"". this seems to mean that the app cannot connect to the internet, even though i have a stable internet connection, and all other stuff work properly.",2,2025-09-24,CBE,Google Play Store
juhaar,5,2025-09-24,CBE,Google Play Store
i am using cbe app very fantastic.,5,2025-09-24,CBE,Google Play Store
bist app tankyou,4,2025-09-23,CBE,Google Play Store
this is very useful and consistent app,5,2025-09-23,CBE,Google Play Store
"this application provides timely service in a good, fast and reliable manner.",5,2025-09-23,CBE,Google Play Store
so good,5,2025-09-23,CBE,Google Play Store
it will be more better if the app have the feature receipt verifying from qr code screenshot images from gallery ... currently it works only from direct camera capturing,4,2025-09-23,CBE,Google Play Store
"from the ux perspective it can be better, it's old and it's not obvious where you can find some things",3,2025-09-22,CBE,Google Play Store
it is amazing app but it is more better if it is possible to transfer from account to other telebirr,5,2025-09-22,CBE,Google Play Store
"the app was great while it was active. however, after the app did an update, i lost connection with a message ""network error"". please try to fix it as there are many clients of cbe using this app globally from abroad countries.",3,2025-09-21,CBE,Google Play Store
very important app,4,2025-09-21,CBE,Google Play Store
the best of all mobile banking in ethiopia works perfectly fine,5,2025-09-21,CBE,Google Play Store
dantro band!!!,5,2025-09-21,CBE,Google Play Store
some time when make transfer from mobile account to other cbebirr wallet no show customer name so please check it......thanks my cbe.. cbebirr application very nice application wallet,5,2025-09-20,CBE,Google Play Store
this app is very useful but sometimes when you want to see specific transactions it didn't work so that way i gave 3,3,2025-09-20,CBE,Google Play Store
why i must visit the branch i opened my account to activate the mobile banking services? if it a connected network it maybe done from any branch.,1,2025-09-20,CBE,Google Play Store
አሪፍ ነው አሁን ደግሞ እስክሪን ሹት ማረግ በመቻሌ ደግብሎኛል,5,2025-09-20,CBE,Google Play Store
asfaw damse,5,2025-09-19,CBE,Google Play Store
jabadhaa namatii tolataan,5,2025-09-19,CBE,Google Play Store
"the app is very good in its interface and user friendly. but it could be a pro app had it had additional feature that let us run multiple accounts on a single phone with an option of ""additional"" account!",3,2025-09-19,CBE,Google Play Store
the app is user friendly. but i want some amendment or include option of sending money to other tele birr like other cbe birr.,4,2025-09-18,CBE,Google Play Store
truly amazing!,5,2025-09-18,CBE,Google Play Store
doesn't have option to generate statement for transactions,3,2025-09-18,CBE,Google Play Store
😎,5,2025-09-17,CBE,Google Play Store
janalebl,5,2025-09-17,CBE,Google Play Store
nice application,5,2025-09-17,CBE,Google Play Store
waaaaaaaw,1,2025-09-17,CBE,Google Play Store
very nice,5,2025-09-16,CBE,Google Play Store
of,5,2025-09-16,CBE,Google Play Store
it's best app to use recently and upgraded day to day for internationalization,4,2025-09-16,CBE,Google Play Store
easy to use and not complicated 👍,5,2025-09-15,CBE,Google Play Store
apdat the app,5,2025-09-14,CBE,Google Play Store
good in bankin at any time & any where.,5,2025-09-13,CBE,Google Play Store
great,5,2025-09-13,CBE,Google Play Store
"what a useless app! transfers, wallet payments, other banks — nothing works. updated, restarted, cleared cache, reinstalled — still useless. crashed and forced me to visit a branch just to log in 3 times. one of the biggest banks in the country can’t fix issues a junior developer could solve. completely unreliable. big bank , zero functionality!",1,2025-09-13,CBE,Google Play Store
it is best to me,1,2025-09-13,CBE,Google Play Store
hayizgi mebrahtom feshay,5,2025-09-13,CBE,Google Play Store
excellent app,5,2025-09-12,CBE,Google Play Store
after apdate the app doesn't work any thing else it said enable to connects,1,2025-09-12,CBE,Google Play Store
love,5,2025-09-12,CBE,Google Play Store
hasasa bank,1,2025-09-11,CBE,Google Play Store
all ways trusted.,5,2025-09-11,CBE,Google Play Store
best mb application in ethiopia financial sector.,5,2025-09-11,CBE,Google Play Store
i like this app,5,2025-09-11,CBE,Google Play Store
am tired why i have to update every 5 day,1,2025-09-11,CBE,Google Play Store
usb debugig mode bicha off endidereg axrigu like awash bank,1,2025-09-10,CBE,Google Play Store
good morning 🙏,5,2025-09-10,CBE,Google Play Store
am happy 😃,5,2025-09-09,CBE,Google Play Store
wowww,5,2025-09-08,CBE,Google Play Store
kehru nasir abfixa,5,2025-09-08,CBE,Google Play Store
it is well organized.,5,2025-09-08,CBE,Google Play Store
can't see the nearest branch or atm available,2,2025-09-08,CBE,Google Play Store
the app does not open,1,2025-09-07,CBE,Google Play Store
from monk,3,2025-09-06,CBE,Google Play Store
"amazing, delightful and seamless mobile banking application, i have ever experienced!! indeed, i feel great proud to be part of your stakeholder! my first choice bank, commercial bank of ethiopia, the pioneer and leading in digital banking services in ethiopia! five stars ⭐⭐⭐⭐⭐ are little to you! thank you so much🙏",5,2025-09-06,CBE,Google Play Store
incredible,5,2025-09-06,CBE,Google Play Store
የዚህ አፕ ተጠቃሚ ነበርኩ ያለሁት ከሀገር ውጭ ነው እና እየተጠቀምኩበት ሳለ አብደት አድርጊ አለኝ ሳረገው ፓስወርድ እንዴ አድስ ጠየቀኝ እንዴው እኔ አለሁበት ሀገር ሆኘ መስተካከል ከቻለ ተባበሩኝ በጣም አስፈላጊዬ ነው ::,5,2025-09-05,CBE,Google Play Store
it's the best money transfer app ever,5,2025-09-05,CBE,Google Play Store
it is nice,5,2025-09-05,CBE,Google Play Store
user friendly. best.,5,2025-09-05,CBE,Google Play Store
🙏,5,2025-09-05,CBE,Google Play Store
አሪፍ,5,2025-09-05,CBE,Google Play Store
best app!!!,5,2025-09-05,CBE,Google Play Store
"it is good app and really user friendly , but it not possible to start service after the app is uninstalled or device phone is changed. so please make it easy for us, after once you set us the requirements in your office we should have to use it only by install and launch it. we do not have to visit the near by branch office every time for such silly businesses but important things. in addition to that why is that for hidding senders name or account number how can i know who tranfers to me???",4,2025-09-05,CBE,Google Play Store
very good app,5,2025-09-05,CBE,Google Play Store
jabirabdala,5,2025-09-04,CBE,Google Play Store
unfair cost of transportations... what a shame!!!,1,2025-09-04,CBE,Google Play Store
"i think it is a good app to use easily. however, i have one more comment: the app does not automatically sync or update the balance in real time. please review this issue. for example, when someone transfers money, the receiver's app does not sync automatically. it requires the user to manually initiate an update to see the current balance.",4,2025-09-04,CBE,Google Play Store
waw!!! i am proud!!! my strong bank works at best even in a remote location here in malabo (ecuatorial guinea). mewolid mubarak cbe!!!,5,2025-09-04,CBE,Google Play Store
zinaa ahmed,5,2025-09-04,CBE,Google Play Store
absolutely excellent,5,2025-09-03,CBE,Google Play Store
amazing app,5,2025-09-03,CBE,Google Play Store
perfect and easy,5,2025-09-03,CBE,Google Play Store
fastest,5,2025-09-03,CBE,Google Play Store
my account is not working,4,2025-09-03,CBE,Google Play Store
the recent update is not optimized fir latest version of android,2,2025-09-02,CBE,Google Play Store
topp,5,2025-09-01,CBE,Google Play Store
i appreciate it,5,2025-09-01,CBE,Google Play Store
v.good app,5,2025-09-01,CBE,Google Play Store
sahib amin jamal,1,2025-08-30,CBE,Google Play Store
installi,5,2025-08-30,CBE,Google Play Store
very good apps,5,2025-08-30,CBE,Google Play Store
👍👍👍👍,1,2025-08-30,CBE,Google Play Store
the app say it is not compatible with ur phone can u fix it it is not updating.,1,2025-08-30,CBE,Google Play Store
"i would like to give you some feedback on current update, its very nice and easy to use👍 but in some button there is still not improved for example while iwant to check my recent txn it not well sequenced and arranged or some txn may not appear ... becouse of this i see many of users of this app discomferted maily merchants and those make high txn daily. improve and miximize the txn shown to 300 up to 500. make searchable recent txn button! all in all the bank i relly on! cbe my bank !",5,2025-08-29,CBE,Google Play Store
tinishu titiba,5,2025-08-29,CBE,Google Play Store
"essy to use ,has great interface and user-friendly g",5,2025-08-29,CBE,Google Play Store
yuuuuu,5,2025-08-29,CBE,Google Play Store
i found it very much friendly,5,2025-08-29,CBE,Google Play Store
"very useful app, while we use cbe.",5,2025-08-28,CBE,Google Play Store
woooow,5,2025-08-28,CBE,Google Play Store
redmi,1,2025-08-28,CBE,Google Play Store
አርፍ ነው ነገር ግን ሴብ ያረገውን አካውንት እያጠፋብን ነው,5,2025-08-28,CBE,Google Play Store
kamil aweil,5,2025-08-28,CBE,Google Play Store
in your next update can you come with night mode future,5,2025-08-27,CBE,Google Play Store
"truly, super competitive when compared to a well known app nowadays functioning broadly by simplest features and means namely known as telebirr super app, thus, cbe is my top ultimate choice that i prefer over the other bank due to its beautiful power of lead as a result i could recommend cbe to others because of its service provision via ethical principles and practice for customers satisfaction with existence of constraints and challenges face from burglary and froudalent hacker. thank you !",5,2025-08-27,CBE,Google Play Store
mayreba app you its better if you use other banks,1,2025-08-27,CBE,Google Play Store
not prefect transfer to other bank the mony not deliverd imidetliy take three or five days,1,2025-08-27,CBE,Google Play Store
let us know before you shut down the app,4,2025-08-27,CBE,Google Play Store
excited,5,2025-08-27,CBE,Google Play Store
amizing,5,2025-08-26,CBE,Google Play Store
love it,5,2025-08-26,CBE,Google Play Store
yes it is v good,5,2025-08-26,CBE,Google Play Store
a great update in the mobile banking application. thanks for the system and customization department,5,2025-08-26,CBE,Google Play Store
this app is smart.,5,2025-08-26,CBE,Google Play Store
i am happy,5,2025-08-26,CBE,Google Play Store
still i have not face critical problems sometimes delay to open,4,2025-08-25,CBE,Google Play Store
ጤና ከድረ,5,2025-08-25,CBE,Google Play Store
the connection between bank and the app is lag relationship this must be corrected.,4,2025-08-25,CBE,Google Play Store
i have forgotten mobail banking password,5,2025-08-25,CBE,Google Play Store
thank you,5,2025-08-25,CBE,Google Play Store
muktaar abraahim,5,2025-08-25,CBE,Google Play Store
🤞good one,5,2025-08-24,CBE,Google Play Store
why does it say change pin to 6 digits is that right?,4,2025-08-24,CBE,Google Play Store
one of the worst mobile banking apps in ethiopia. you can't access your txn record for more than 2 weeks.,1,2025-08-24,CBE,Google Play Store
i like it and aprshat.,4,2025-08-23,CBE,Google Play Store
"the app has some issues i updated recently and now i am not able to send funds to my telebirr wallet, also we need to have a place we save our contacts where we usually send money to, after update i keep loosing all the important accounts.",4,2025-08-23,CBE,Google Play Store
best app and easy to use,5,2025-08-23,CBE,Google Play Store
doesn't work unless with data doesn't refresh fast other wise functions ok but after the update transferring to telebirr is not working,2,2025-08-23,CBE,Google Play Store
list of transactions can't load over months and years..,1,2025-08-23,CBE,Google Play Store
transferring money to telebirr is not working,1,2025-08-23,CBE,Google Play Store
i don't like this app and there service fee is highl,5,2025-08-23,CBE,Google Play Store
አዲሱ update ጥሩ አይደለም. update ካደረግኩት በኋላ ከዚህ በፊት ስላላክባቸው የነበሩትን save አድርጎ ይዞት የነበረውን ሁሉንም የሰዎች አካውንቶች አጥፍቶብኛል.,2,2025-08-23,CBE,Google Play Store
this application do not show over all transaction history,3,2025-08-23,CBE,Google Play Store
this app is very nice but statment history is very shiort atlist add 15 days,4,2025-08-23,CBE,Google Play Store
"this app stooped working after i updated it. it says change password and i did, but it doesn't open with the new password. i don't like it.",1,2025-08-22,CBE,Google Play Store
best and secured application,5,2025-08-22,CBE,Google Play Store
this application is excellent .,5,2025-08-22,CBE,Google Play Store
"the new update is very bugged. can't view the names of account holders i previously had transactions with, and more recently, its almost impossible to load money to telebirr, always says unable to connect...please fix asap",1,2025-08-22,CBE,Google Play Store
thise app is great,5,2025-08-22,CBE,Google Play Store
አፕሊኬሽኑን አብዴት ካደረኩት በኋላ የሚስጥር ቁጥር አጭር ስለሆነ ቀይር ብሎኝ ለሶስት ቀናት ብሞክር unable to connect the server ከማለቱም በላይ አፕሊካሽኑ እየሰራልኝ አይደለም🙏🙏,1,2025-08-22,CBE,Google Play Store
"i love this app. really, but with some downsides too. screenshot is mandatory after every transaction as to me, i need screenshots not downloaded recipient. it would be even better if transaction history is available via this app for months that we can access directly or via calender ways. thanks.",4,2025-08-22,CBE,Google Play Store
👍,5,2025-08-22,CBE,Google Play Store
it is good app,5,2025-08-22,CBE,Google Play Store
good and always try to make new updats 🙏👍,5,2025-08-22,CBE,Google Play Store
"i use the commercial bank of ethiopia mobile app, and it’s fantastic! the interface is user-friendly, making it easy to check balances and transfer money. i love the bill payment feature, and the security measures give me peace of mind. overall, it’s a reliable app that has simplified my banking experience. highly recommend!",5,2025-08-22,CBE,Google Play Store
i don' want,5,2025-08-22,CBE,Google Play Store
"it's very nice simple and convenient app! but i have only one comment on double verifications after the finger prints. even thought its good for makin' it more secure, its not neccessary to double verify after the finger print verification. no need to verify by pin again. thank you!",5,2025-08-22,CBE,Google Play Store
one of the best,5,2025-08-22,CBE,Google Play Store
"why is it every time the app is updated history of previous account numbers keeps missing , why??",1,2025-08-21,CBE,Google Play Store
you guys charge way to much when we transfer money from cbe to telebirr via this app,3,2025-08-21,CBE,Google Play Store
not bad apk,1,2025-08-21,CBE,Google Play Store
yes these app is so good for our saving and marketing system go ethiopia go!!!,5,2025-08-21,CBE,Google Play Store
best mobile banking app that have seen .,5,2025-08-21,CBE,Google Play Store
it's very helpful apps,5,2025-08-21,CBE,Google Play Store
every major update means you have to go back to ethiopia to make the app work. in 2025?,2,2025-08-20,CBE,Google Play Store
"unable to connect, pls. improve the system",5,2025-08-20,CBE,Google Play Store
well app,5,2025-08-20,CBE,Google Play Store
"smart service but, your service charge is too high",5,2025-08-20,CBE,Google Play Store
perfect 👌 keep,5,2025-08-20,CBE,Google Play Store
